congress,name,state,district
97,"Kennelly, Barbara",CT,1
97,"Hoyer, Steny",MD,5
97,"Dowdy, Wayne",MS,4
97,"Oxley, M",OH,4
97,"Smith, Joseph",PA,3
98,"Burton, Sala",CA,5
98,"Burton, Phillip",CA,5
98,Schaefer,CO,6
98,Darden,GA,
98,McDonald,GA,
98,Hayes,IL,
98,Washington,IL,
98,Kleczka,WI,
99,Long,LA,
99,Chapman,TX,
99,"Hall, S",TX,
100,Burton,CA,
100,McKinney,CT,
100,Shays,CT,
100,Price,IL,
100,McCrery,LA,
100,Roemer,LA,
100,Howard,NJ,
100,Boner,TN,
100,Clement,TN,
100,Wright,TX,
100,Daniel,VA,
100,Payne,VA,
101,Browder,AL,
101,"Robinson, T",AR,
101,Robinson,AR,
101,Coelho,CA,
101,Condit,CA,
101,Pepper,FL,
101,Roslehtinen,FL,
101,Long,IN,
101,"Smith, J",MS,
101,Taylor,MS,
101,Florio,NJ,
101,"Molinari, G",NY,
101,"Molinari, S",NY,
101,Garcia,NY,
101,Serrano,NY,
101,Green,TX,
101,Wright,TX,
101,Leland,TX,
101,Washington,TX,
101,Foley,WA,
101,Thomas,WY,
102,Pastor,AZ,
102,Ewing,IL,
102,Olver,MA,
102,Blackwell,PA,
102,Gray,PA,
102,Allen,VA,
102,Slaughter,VA,
102,Foley,WA,
103,Farr,CA,
103,Kewis,KY,
103,Ehlers,MI,
103,Thompson,MS,
103,Portman,OH,
103,Lucas,OK,
103,Barca,WI,
104,Campbell,CA,
104,Mineta,CA,
104,Tucker,CA,
104,Jackson,IL,
104,Reynolds,IL,
104,Mfume,MD,
104,Wyden,OR,
105,"Bono, M",CA,
105,"Bono, S",CA,
105,Capps L,CA,
105,Capps W,CA,
105,Lee,CA,
105,Redmond,NM,
105,Schiff,NM,
105,Flake,NY,
105,Fossella,NY,
105,Meeks,NY,
105,Molinari,NY,
105,Brady,PA,
105,Foglietta,PA,
105,Rodriguez,TX,
106,Baca,CA,
107,OK,AR,
107,"Hutchinson, A",AR,
107,Watson,CA,
107,"Miller, J",FL,
107,Scarborough,FL,
107,Lynch,MA,
107,Moakley,MA,
107,Sullivan,OK,
107,Largent,OK,
107,"Shuster, Bill",PA,
107,Spence,SC,
107,"Wilson, J",SC,
107,Forbes,VA,
108,Goss,FL,
108,Mink,HI,
108,Hastert,IL,
108,Chandler,KY,
108,Fletcher,KY,
108,Bereuter,NE,
108,Ballance,NC,
108,Butterfield,NC,
108,Herseth,SD,
108,Janklow,SD,
108,Combest,TX,
108,Neugebauer,TX,
109,Billbray,CA,
109,Campbell,CA,
109,Cox,CA,
109,Cunningham,CA,
109,Menendez,NJ,
109,Portman,OH,
109,Schmidt,OH,
109,DeLay,TX,
110,Lantos,CA,
110,Millender-McDonald,CA,
110,Richardson,CA,
110,Speler,CA,
110,Broun,GA,
110,Norwood,GA,
110,Foster,IL,
110,Hastert,IL,
110,"Carson, A",IN,
110,"Carson, J",IN,
110,Baker,LA,
110,Cazayoux,LA,
110,Jindal,LA,
110,Scalise,LA,
110,Edwards,MD,
110,Wynn,MD,
110,Meehan,MA,
110,Tsongas,MA,
110,Childers,MS,
110,Wicker,MS,
110,Gillmor,OH,
110,Latta,OH,
110,"Davis, J",VA,
110,Wittman,VA,
111,Chu,CA,
111,Garamendi,CA,
111,"Miller, Gary",CA,
111,Solis,CA,
111,Deutch,FL,
111,Wexler,FL,
111,Deal,GA,
111,Graves,GA,
111,Abercrombie,HI,
111,Djou,HI,
111,Emanuel,IL,
111,Quigley,IL,
111,Souder,IN,
111,Gillibrand,NY,
111,Massa,NY,
111,McHugh,NY,
111,Murphy,NY,
111,Owens,NY,
111,Critz,PA,
111,Murtha,PA,
112,Barber,AZ,
112,Giffords,AZ,
112,Hahn,CA,
112,Harman,CA,
112,Davis,KY,
112,McCotter,MI,
112,Amodei,NV,
112,Heller,NV,
112,Payne,NJ,
112,Hinchey,NY,
112,Lee,NY,
112,Turner,NY,
112,Weiner,NY,
112,Bonamici,OR,
112,Wu,OR,
112,Inslee,WA,
113,Bonner,AL,
113,Byrne,AL,
113,Clawson,FL,
113,Jolly,FL,
113,Radel,FL,
113,Young,FL,
113,Kelly,IL,
113,Alexander,LA,
113,McAllister,LA,
113,Clark,MA,
113,Markey,MA,
113,Emerson,MO,
113,Smith,MO,
113,Andrews,NJ,
113,Watt,NC,
113,Sanford,SC,
113,Scott,SC,
114,Schock,IL,
114,Nunnelee,MS,
114,Grimm,NY,
114,Boehner,OH,
114,Davidson,OH,
115,Lesko,AZ,
115,Becerra,CA,
115,Gomez,CA,
115,Handel,GA,
115,Price,GA,
115,Pompeo,KS,
115,Conyers,MI,
115,Zinke,MT,
115,Balderson,OH,
115,Lamb,PA,
115,Murphy,PA,
115,Mulvaney,SC,
115,Norman,SC,
115,Cloud,TX,
115,Chaffetz,UT,
115,Curtis,UT,
116,Hill,CA,
116,Garcia,CA,
116,Mfume,MD,
116,Cummings,MD,
116,Collins,NY,
116,Jacobs,NY,
116,Bishop,NC,
116,Jones,NC,
116,Murphy,NC,
116,Keller,PA,
116,Marino,PA,
116,Duffy,WI,
116,Tiffany,WI,
