"","key","washington_minus_us"
"1","adamschiff107",-1
"2","adamschiff108",-1
"3","adamsmith105",-2
"4","adamsmith106",-2
"5","adamsmith107",-2
"6","adamsmith108",-2
"7","albertwynn105",-1
"8","albertwynn106",-1
"9","albertwynn107",-1
"10","bartstupak107",-1
"11","bartstupak108",-1
"12","benjamingilman105",-2
"13","benjamingilman106",-2
"14","benjamingilman107",-2
"15","bradsherman105",-3
"16","bradsherman106",-3
"17","bradsherman107",-3
"18","bradsherman108",-3
"19","carriemeek105",2
"20","carriemeek106",2
"21","carriemeek107",2
"22","charlescanady105",-1
"23","charlespickering105",-1
"24","christophercannon105",-1
"25","danarohrabacher105",-3
"26","danarohrabacher106",-3
"27","danarohrabacher107",-3
"28","danarohrabacher108",-3
"29","davidcamp105",-2
"30","davidcamp106",-1
"31","davidvitter106",-1
"32","davidvitter107",-1
"33","davidweldon105",-1
"34","davidweldon106",-1
"35","deborahpryce106",-1
"36","deborahpryce107",-2
"37","deborahpryce108",-1
"38","denniscardoza108",-1
"39","devinnunes108",-3
"40","elijahcummings105",-2
"41","elijahcummings106",-2
"42","elijahcummings107",-2
"43","elijahcummings108",-2
"44","f.boyd105",-1
"45","f.boyd106",-1
"46","f.boyd107",-1
"47","f.boyd108",-1
"48","fortneystark105",-2
"49","fortneystark106",-2
"50","frankpallone105",-1
"51","georgebrown105",4
"52","georgebrown106",4
"53","gregorymeeks106",-1
"54","gregorymeeks107",-1
"55","ileanaros-lehtinen105",-1
"56","ileanaros-lehtinen106",-1
"57","ileanaros-lehtinen107",-1
"58","ileanaros-lehtinen108",-1
"59","jamesgibbons105",2
"60","jamesgibbons106",2
"61","jamesgibbons107",2
"62","jamesgibbons108",2
"63","jamesmcgovern105",-2
"64","jamesmcgovern106",-1
"65","jamesmcgovern107",-1
"66","jamesmcgovern108",-1
"67","janiceschakowsky106",1
"68","janiceschakowsky107",1
"69","janiceschakowsky108",1
"70","jaydickey105",-1
"71","jaydickey106",-1
"72","jebhensarling108",-1
"73","jenniferdunn105",-1
"74","jenniferdunn106",-1
"75","jenniferdunn107",-1
"76","jenniferdunn108",-1
"77","jessejackson105",-1
"78","jessejackson106",-1
"79","joebarton105",-1
"80","joebarton106",-1
"81","joebarton107",-1
"82","joebarton108",-1
"83","johnkasich105",-2
"84","johnkasich106",-2
"85","johnshimkus105",-1
"86","johnshimkus106",-1
"87","jonfox105",-1
"88","josephcrowley106",-1
"89","josephcrowley107",-1
"90","josephcrowley108",-1
"91","kennyhulshof105",-2
"92","kennyhulshof106",-1
"93","kevinbrady105",-2
"94","kevinbrady106",-1
"95","kevinbrady107",-1
"96","leonardboswell105",-1
"97","leonardboswell106",-1
"98","leonardboswell107",-1
"99","leonardboswell108",-1
"100","lindasanchez108",-1
"101","lucilleroybal-allard105",2
"102","lucilleroybal-allard106",2
"103","lucilleroybal-allard107",2
"104","lucilleroybal-allard108",2
"105","martinmeehan105",-1
"106","martinmeehan106",-1
"107","michaelferguson107",-1
"108","michaelforbes105",-1
"109","michaelrogers108",-1
"110","mikerogers108",1
"111","patricktoomey106",-2
"112","patricktoomey107",-1
"113","paulryan106",-3
"114","paulryan107",-3
"115","paulryan108",-1
"116","philipcrane105",2
"117","philipcrane106",2
"118","philipcrane107",2
"119","philipcrane108",2
"120","robertaderholt105",-2
"121","robertaderholt106",-1
"122","robertaderholt107",-1
"123","robertaderholt108",-1
"124","robertehrlich105",-1
"125","robertehrlich106",-1
"126","robertfranks105",-3
"127","robertfranks106",-3
"128","ronalddellums105",-1
"129","sanfordbishop105",-1
"130","sanfordbishop106",-1
"131","sherwoodboehlert105",2
"132","sherwoodboehlert106",2
"133","sherwoodboehlert107",2
"134","sherwoodboehlert108",2
"135","thomasbarrett105",-2
"136","thomascoburn105",1
"137","thomascoburn106",1
"138","trentfranks108",-2
"139","vitofossella106",-1
"140","vitofossella107",-1
"141","williambarrett105",1
"142","williambarrett106",1
"143","xavierbecerra105",-1
